,Symbol,Name,Sector,Date,Price
277,LH,Laboratory Corp. of America Holding,Health Care,2023-09-15 00:00:00,201.6499938964844
278,LRCX,Lam Research,Information Technology,2023-09-15 00:00:00,623.1099853515625
279,LEG,Leggett & Platt,Consumer Discretionary,2023-09-15 00:00:00,26.209999084472656
280,LEN,Lennar Corp.,Consumer Discretionary,2023-09-15 00:00:00,114.76000213623048
281,LUK,Leucadia National Corp.,Financials,2023-09-15 00:00:00,
282,LLY,Lilly (Eli) & Co.,Health Care,2023-09-15 00:00:00,575.6599731445312
283,LNC,Lincoln National,Financials,2023-09-15 00:00:00,26.030000686645508
284,LKQ,LKQ Corporation,Consumer Discretionary,2023-09-15 00:00:00,49.93999862670898
285,LMT,Lockheed Martin Corp.,Industrials,2023-09-15 00:00:00,424.0499877929688
286,L,Loews Corp.,Financials,2023-09-15 00:00:00,64.25
287,LOW,Lowe's Cos.,Consumer Discretionary,2023-09-15 00:00:00,220.0200042724609
288,LYB,LyondellBasell,Materials,2023-09-15 00:00:00,100.04000091552734
289,MTB,M&T Bank Corp.,Financials,2023-09-15 00:00:00,129.3000030517578
290,MAC,Macerich,Real Estate,2023-09-15 00:00:00,12.229999542236328
291,M,Macy's Inc.,Consumer Discretionary,2023-09-15 00:00:00,11.140000343322754
292,MRO,Marathon Oil Corp.,Energy,2023-09-15 00:00:00,26.8799991607666
293,MPC,Marathon Petroleum,Energy,2023-09-15 00:00:00,153.80999755859375
294,MAR,Marriott Int'l.,Consumer Discretionary,2023-09-15 00:00:00,203.16000366210935
295,MMC,Marsh & McLennan,Financials,2023-09-15 00:00:00,196.19000244140625
296,MLM,Martin Marietta Materials,Materials,2023-09-15 00:00:00,425.1300048828125
297,MAS,Masco Corp.,Industrials,2023-09-15 00:00:00,54.66999816894531
298,MA,Mastercard Inc.,Information Technology,2023-09-15 00:00:00,414.30999755859375
299,MAT,Mattel Inc.,Consumer Discretionary,2023-09-15 00:00:00,21.06999969482422
300,MKC,McCormick & Co.,Consumer Staples,2023-09-15 00:00:00,79.79000091552734
301,MCD,McDonald's Corp.,Consumer Discretionary,2023-09-15 00:00:00,278.2300109863281
302,MCK,McKesson Corp.,Health Care,2023-09-15 00:00:00,420.1300048828125
303,MDT,Medtronic plc,Health Care,2023-09-15 00:00:00,81.7699966430664
304,MRK,Merck & Co.,Health Care,2023-09-15 00:00:00,107.5199966430664
305,MET,MetLife Inc.,Financials,2023-09-15 00:00:00,65.6500015258789
306,MTD,Mettler Toledo,Health Care,2023-09-15 00:00:00,1168.699951171875
307,MGM,MGM Resorts International,Consumer Discretionary,2023-09-15 00:00:00,41.08000183105469
308,KORS,Michael Kors Holdings,Consumer Discretionary,2023-09-15 00:00:00,
309,MCHP,Microchip Technology,Information Technology,2023-09-15 00:00:00,77.62999725341797
310,MU,Micron Technology,Information Technology,2023-09-15 00:00:00,69.87999725341797
311,MSFT,Microsoft Corp.,Information Technology,2023-09-15 00:00:00,330.2200012207031
312,MAA,Mid-America Apartments,Real Estate,2023-09-15 00:00:00,138.0
313,MHK,Mohawk Industries,Consumer Discretionary,2023-09-15 00:00:00,93.62000274658205
314,TAP,Molson Coors Brewing Company,Consumer Staples,2023-09-15 00:00:00,63.59000015258789
315,MDLZ,Mondelez International,Consumer Staples,2023-09-15 00:00:00,71.94000244140625
316,MON,Monsanto Co.,Materials,2023-09-15 00:00:00,
317,MNST,Monster Beverage,Consumer Staples,2023-09-15 00:00:00,56.13999938964844
318,MCO,Moody's Corp,Financials,2023-09-15 00:00:00,341.19000244140625
319,MS,Morgan Stanley,Financials,2023-09-15 00:00:00,88.41000366210938
320,MSI,Motorola Solutions Inc.,Information Technology,2023-09-15 00:00:00,283.2099914550781
321,MYL,Mylan N.V.,Health Care,2023-09-15 00:00:00,
322,NDAQ,"Nasdaq, Inc.",Financials,2023-09-15 00:00:00,50.77000045776367
323,NOV,National Oilwell Varco Inc.,Energy,2023-09-15 00:00:00,20.93000030517578
324,NAVI,Navient,Financials,2023-09-15 00:00:00,17.8799991607666
325,NTAP,NetApp,Information Technology,2023-09-15 00:00:00,77.72000122070312
326,NFLX,Netflix Inc.,Information Technology,2023-09-15 00:00:00,396.9400024414063
327,NWL,Newell Brands,Consumer Discretionary,2023-09-15 00:00:00,9.489999771118164
328,NFX,Newfield Exploration Co,Energy,2023-09-15 00:00:00,
329,NEM,Newmont Mining Corporation,Materials,2023-09-15 00:00:00,40.33000183105469
330,NWSA,News Corp. Class A,Consumer Discretionary,2023-09-15 00:00:00,20.280000686645508
331,NWS,News Corp. Class B,Consumer Discretionary,2023-09-15 00:00:00,20.979999542236328
332,NEE,NextEra Energy,Utilities,2023-09-15 00:00:00,68.63999938964844
333,NLSN,Nielsen Holdings,Industrials,2023-09-15 00:00:00,
334,NKE,Nike,Consumer Discretionary,2023-09-15 00:00:00,96.26000213623048
335,NI,NiSource Inc.,Utilities,2023-09-15 00:00:00,27.670000076293945
